slide_id,Y,Y_hat,p_0,p_1
TCGA-2A-A8W1-01A-01-TS1.91B29B87-640B-492F-93CA-4CDB89D06C52,1.0,1.0,0.33602407574653625,0.6639758944511414
TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0,1.0,1.0,0.03404330462217331,0.9659567475318909
TCGA-2A-AAYU-01A-01-TSA.98BA12F2-611D-4EB0-81E6-859C4221AB55,1.0,1.0,0.016653548926115036,0.9833464622497559
TCGA-2A-AAYU-01Z-00-DX1.F3FFE8F2-86B0-4552-A369-15DBB9C3B035,1.0,1.0,0.011083673685789108,0.988916277885437
TCGA-CH-5738-01A-01-TS1.8ab47b68-e420-431a-b810-83867777c04d,1.0,1.0,0.03267398104071617,0.9673260450363159
TCGA-CH-5738-01Z-00-DX1.fcb841b3-9257-48a4-b175-26df4227b0ce,1.0,1.0,0.02806096151471138,0.9719390869140625
TCGA-CH-5738-01A-01-BS1.c9128315-cc85-4785-99b1-e28aa602d529,1.0,1.0,0.019014237448573112,0.980985701084137
TCGA-CH-5744-01A-01-TS1.77d7a80d-9b03-4948-a229-3bf9c29a870a,1.0,1.0,0.1241682767868042,0.8758317828178406
TCGA-CH-5744-01A-01-BS1.6bb9c4b2-87d0-48da-b1c5-a78629dd2021,1.0,1.0,0.24282164871692657,0.7571783661842346
TCGA-CH-5744-01Z-00-DX1.ae8a6754-a41d-4227-b48c-0258d7bc500a,1.0,1.0,0.056890301406383514,0.9431096911430359
TCGA-CH-5762-01Z-00-DX1.13c73407-5fdb-4109-91df-a224a0a6dce2,0.0,1.0,0.25887972116470337,0.7411202192306519
TCGA-CH-5762-01A-01-BS1.87418459-e116-4acf-8840-8595473affa2,0.0,1.0,0.14229968190193176,0.8577003479003906
TCGA-CH-5762-01A-01-TS1.b409b534-326c-46b6-b6fa-eada850e6afe,0.0,1.0,0.20105522871017456,0.7989447116851807
TCGA-EJ-5494-01Z-00-DX1.f466c17c-4671-45e0-aca9-0ceeec2c0280,1.0,1.0,0.25445595383644104,0.7455440163612366
TCGA-EJ-5494-01A-01-TS1.868a97bc-d4ee-4eca-ad5f-46b57205bb90,1.0,1.0,0.047059591859579086,0.9529404640197754
TCGA-EJ-5494-01A-01-BS1.4617dbb2-0f18-4142-b2c8-cee5160f7da7,1.0,1.0,0.13239961862564087,0.8676003813743591
TCGA-EJ-5516-01A-01-BS1.139327af-6688-44d2-8dc6-2ec43ac6b0d3,1.0,1.0,0.0971158966422081,0.9028841257095337
